departure.airport,latitude,longitude,flight_count
Abu Dhabi International,24.426912,54.645973,424
Adana,36.98503,35.29736,3
Aden International Airport,12.826116,45.037537,72
Adi Sumarmo,-7.51583,110.75667,5
Adnan Menderes Airport,38.294403,27.147594,1
Agadir Almassira,30.378326,-9.555895,1
Agri,39.65,43.025,1
Ain Beida,31.916668,5.4,3
Al-Fujairah International,25.109444,56.330555,19
Alama Iqbal International,31.520832,74.40278,300
Alexander The Great Airport,41.95649,21.62872,8
Almaty,43.346653,77.01145,12
Amausi,26.764257,80.884186,35
Aminu Kano International Airport,12.045549,8.522271,14
Anadolu University,39.81,30.519444,1
Antalya,36.89928,30.80135,34
Ashgabat,37.984184,58.366978,21
Assiut,27.033333,31,68
"Athens International Airport ""Eleftherios Venizelos""",37.93635,23.946486,79
Baghdad International,33.255554,44.225,88
Bahrain International,26.26918,50.62605,363
Bajpe,12.963543,74.890144,5
Bamako,12.540926,-7.947951,1
Bandar Seri Begwan International Airport,4.945197,114.93375,12
Bangalore International Airport,13.198889,77.70556,31
Bangui,4.396111,18.520279,1
Barajas,40.46515,-3.570209,35
Basrah International Airport,30.555555,47.79139,1
Batna,35.566666,6.183333,2
Batum,41.610832,41.600555,35
Beijing Capital International,40.078537,116.5871,9
Beijing Daxing International Airport,39.5092,116.411,17
Beirut Rafic Hariri Airport,33.826073,35.49308,120
Birmingham International Airport,52.45252,-1.733256,30
Bole International,8.983759,38.7959,263
Borg el Arab,30.922234,29.686504,294
Bron,45.73083,4.943333,1
Brussels Airport,50.89717,4.483602,1
Cairo International Airport,30.120106,31.40647,2178
Canakkale,40.13333,26.4,1
Cardak,37.787224,29.703333,1
Carsamba,41.25738,36.555058,2
Carthage,36.847622,10.21709,72
Charles De Gaulle,49.003197,2.567023,59
Chhatrapati Shivaji International (Sahar International),19.095509,72.87497,310
Ciampino,41.799065,12.590987,1
Cochin International,10.155644,76.39053,37
Constantine Mohamed Boudiaf International Airport,36.286476,6.618425,9
Costa Smeralda,40.903145,9.514823,2
Cote D'azur International Airport,43.66049,7.205232,6
Dalaman,36.716667,28.783333,2
Diyarbakir,37.903873,40.20458,1
Doha International,25.267569,51.558067,547
Dubai,25.248665,55.352917,1263
Dushanbe,38.54894,68.81728,12
El Prat De Llobregat,41.30303,2.07593,27
Es Senia,35.620018,-0.606108,5
Esenboga International,40.11494,32.993145,18
Faisalabad,31.363043,72.98757,10
Farnborough,51.283333,-0.766667,1
Ferit Melen Airport,38.45861,43.332222,2
